Time (s),RPM Left Wheel,RPM Right Wheel,Linear Speed (m/s),Angular Speed (rad/s)
0.6993088722229004,0.0,0.0,0.48967188596725464,-0.0
0.7025320529937744,0.0,0.0,0.41922232508659363,-0.0
0.7182402610778809,0.0,0.0,0.22443392872810364,-0.0
0.7303774356842041,0.0,0.0,0.03380567580461502,-0.0
0.7382237911224365,0.0,0.0,-0.0,-0.0
0.9100451469421387,0.0,0.0,-0.0,-0.0
1.9099395275115967,0.0,0.0,-0.0,-0.0
2.502744674682617,0.0,0.0,-0.0,0.00892505794763565
2.5101377964019775,0.0,0.0,-0.0,0.042077794671058655
2.5183441638946533,0.0,0.0,-0.0,0.058654166758060455
2.526245355606079,0.0,0.0,-0.0,0.06694234907627106
2.5343282222747803,0.0,0.0,-0.0,0.07108644396066666
2.542217493057251,0.0,0.0,-0.0,0.07523053884506226
2.58308482170105,0.0,0.0,-0.0,0.07108644396066666
2.6069376468658447,0.0,0.0,-0.0,0.06694234907627106
2.614788770675659,0.0,0.0,-0.0,0.037933703511953354
2.6227643489837646,0.0,0.0,-0.0,-0.0
2.8711159229278564,0.0,0.0,0.3,0.0
2.9100406169891357,0.0,0.0,0.3,0.0
3.909747838973999,0.0,0.0,0.3,0.0
4.358891010284424,0.0,0.0,-0.0,-0.0
4.909352779388428,0.0,0.0,-0.0,-0.0
5.198444604873657,0.0,0.0,-0.0,-0.0
5.206097602844238,0.0,0.0,0.00065293547231704,-0.0
5.214374303817749,0.0,0.0,0.10425524413585663,-0.0
5.22194504737854,0.0,0.0,0.19128118455410004,-0.0
5.230149984359741,0.0,0.0,0.2617468237876892,-0.0
5.238564491271973,0.0,0.0,0.3363404870033264,-0.0
5.246159315109253,0.0,0.0,0.4067900478839874,-0.0
5.254477500915527,0.0,0.0,0.46895143389701843,-0.0
5.262125015258789,0.0,0.0,0.49796009063720703,-0.0
5.909844398498535,0.0,0.0,0.49796009063720703,-0.0
6.382611989974976,0.0,0.0,0.48552781343460083,-0.0
6.390350341796875,0.0,0.0,0.46895143389701843,-0.0
6.398361921310425,0.0,0.0,0.44408687949180603,-0.0
6.406137943267822,0.0,0.0,0.4067900478839874,-0.0
6.413905143737793,0.0,0.0,0.3612050414085388,-0.0
6.421834945678711,0.0,0.0,0.3239082098007202,-0.0
6.429865598678589,0.0,0.0,0.2824672758579254,-0.0
6.438233137130737,0.0,0.0,0.2617468237876892,-0.0
6.445988893508911,0.0,0.0,0.2451704442501068,-0.0
6.454431533813477,0.0,0.0,0.23272210359573364,-0.0
6.462473630905151,0.0,0.0,0.22443392872810364,-0.0
6.470190763473511,0.0,0.0,0.22028982639312744,-0.0
6.4862213134765625,0.0,0.0,0.21614573895931244,-0.0
6.502492666244507,0.0,0.0,0.21200165152549744,-0.0
6.510892868041992,0.0,0.0,0.20785754919052124,-0.0
6.518011808395386,0.0,0.0,0.20371346175670624,-0.0
6.52615761756897,0.0,0.0,0.19128118455410004,-0.0
6.5340797901153564,0.0,0.0,0.17884890735149384,-0.0
6.542241096496582,0.0,0.0,0.17056071758270264,-0.0
6.550045967102051,0.0,0.0,0.15812844038009644,-0.0
6.5584752559661865,0.0,0.0,0.15398435294628143,-0.0
6.566309690475464,0.0,0.0,0.14569616317749023,-0.0
6.574305057525635,0.0,0.0,0.13740798830986023,-0.0
6.5904929637908936,0.0,0.0,0.13326388597488403,-0.0
6.598363161087036,0.0,0.0,0.12911979854106903,-0.0
6.606240510940552,0.0,0.0,0.12497570365667343,-0.0
6.614458799362183,0.0,0.0,0.12083161622285843,-0.0
6.629983186721802,0.0,0.0,0.11668752133846283,-0.0
6.638116359710693,0.0,0.0,0.10839933902025223,-0.0
6.645714521408081,0.0,0.0,0.10011114925146103,-0.0
6.654275178909302,0.0,0.0,0.09596706181764603,-0.0
6.662075042724609,0.0,0.0,0.09182296693325043,-0.0
6.67021918296814,0.0,0.0,0.08767887204885483,-0.0
6.67801833152771,0.0,0.0,0.08353478461503983,-0.0
6.6862452030181885,0.0,0.0,0.07110250741243362,-0.0
6.694118976593018,0.0,0.0,0.06281431764364243,-0.0
6.702343225479126,0.0,0.0,0.04623795300722122,-0.0
6.710331678390503,0.0,0.0,0.03794976696372032,-0.0
6.717764139175415,0.0,0.0,0.03380567580461502,-0.0
6.725872278213501,0.0,0.0,0.02551748976111412,-0.0
6.7336745262146,0.0,0.0,0.02137339673936367,-0.0
6.74200963973999,0.0,0.0,0.01722930558025837,-0.0
6.749799489974976,0.0,0.0,0.01308521255850792,-0.0
6.757972002029419,0.0,0.0,0.008941120468080044,-0.0
6.766298294067383,0.0,0.0,0.004797027911990881,-0.0
6.781991481781006,0.0,0.0,-0.0,-0.0
6.790236473083496,0.0,0.0,-0.0,-0.0
6.79824161529541,0.0,0.0,-0.0,-0.0
6.8063294887542725,0.0,0.0,-0.0,-0.0
6.821913003921509,0.0,0.0,-0.0,-0.0
6.829903841018677,0.0,0.0,-0.0,-0.0
6.84587550163269,0.0,0.0,-0.0,-0.0
6.861949682235718,0.0,0.0,-0.0,-0.0
6.909960985183716,0.0,0.0,-0.0,-0.0
7.886720895767212,0.0,0.0,-0.0,-0.0
7.894427299499512,0.0,0.0,-0.0,-0.0
7.902526140213013,0.0,0.0,0.008941120468080044,-0.0
7.909913063049316,0.0,0.0,0.008941120468080044,-0.0
7.910342693328857,0.0,0.0,0.07524659484624863,-0.0
7.918626308441162,0.0,0.0,0.13326388597488403,-0.0
7.926333904266357,0.0,0.0,0.19128118455410004,-0.0
7.934333086013794,0.0,0.0,0.2410263568162918,-0.0
7.942242860794067,0.0,0.0,0.2866113781929016,-0.0
7.950197458267212,0.0,0.0,0.3487727642059326,-0.0
7.958012819290161,0.0,0.0,0.3985018730163574,-0.0
7.9663355350494385,0.0,0.0,0.44408687949180603,-0.0
7.97441554069519,0.0,0.0,0.46895143389701843,-0.0
7.982369422912598,0.0,0.0,0.49381598830223083,-0.0
7.990323543548584,0.0,0.0,0.49796009063720703,-0.0
8.909478187561035,0.0,0.0,0.49796009063720703,-0.0
9.677883386611938,0.0,0.0,0.47309553623199463,-0.0
9.685691118240356,0.0,0.0,0.4233664274215698,-0.0
9.693967580795288,0.0,0.0,0.373637318611145,-0.0
9.701700448989868,0.0,0.0,0.3487727642059326,-0.0
9.709969282150269,0.0,0.0,0.3321963846683502,-0.0
9.71797776222229,0.0,0.0,0.328052282333374,-0.0
9.758188247680664,0.0,0.0,0.3321963846683502,-0.0
9.773762702941895,0.0,0.0,0.3363404870033264,-0.0
9.781616449356079,0.0,0.0,0.3404845595359802,-0.0
9.78972339630127,0.0,0.0,0.3446286618709564,-0.0
9.797729730606079,0.0,0.0,0.3487727642059326,-0.0
9.80583119392395,0.0,0.0,0.3529168367385864,-0.0
9.822309255599976,0.0,0.0,0.3570609390735626,-0.0
9.829974174499512,0.0,0.0,0.3612050414085388,-0.0
9.838231325149536,0.0,0.0,0.3694932162761688,-0.0
9.854280948638916,0.0,0.0,0.3985018730163574,-0.0
9.862244606018066,0.0,0.0,0.41507822275161743,-0.0
9.870098352432251,0.0,0.0,0.42751049995422363,-0.0
9.87799072265625,0.0,0.0,0.43994277715682983,-0.0
9.885969638824463,0.0,0.0,0.44408687949180603,-0.0
9.909998655319214,0.0,0.0,0.44408687949180603,-0.0
10.062248945236206,0.0,0.0,0.43994277715682983,-0.0
10.069868564605713,0.0,0.0,0.43165460228919983,-0.0
10.077847242355347,0.0,0.0,0.4109341502189636,-0.0
10.085798978805542,0.0,0.0,0.373637318611145,-0.0
10.094125986099243,0.0,0.0,0.328052282333374,-0.0
10.101866006851196,0.0,0.0,0.2700349986553192,-0.0
10.110304594039917,0.0,0.0,0.21614573895931244,-0.0
10.117918252944946,0.0,0.0,0.12497570365667343,-0.0
10.126198768615723,0.0,0.0,-0.0,-0.0
10.133977174758911,0.0,0.0,-0.0,-0.0
10.909033060073853,0.0,0.0,-0.0,-0.0
11.510394811630249,0.0,0.0,-0.0,-0.0
11.518157005310059,0.0,0.0,-0.0,-0.0
11.52641773223877,0.0,0.0,0.02966158278286457,-0.0
11.534101963043213,0.0,0.0,0.09596706181764603,-0.0
11.54234528541565,0.0,0.0,0.14155207574367523,-0.0
11.550320148468018,0.0,0.0,0.17470481991767883,-0.0
11.5582115650177,0.0,0.0,0.22857801616191864,-0.0
11.56625247001648,0.0,0.0,0.2866113781929016,-0.0
11.574185609817505,0.0,0.0,0.3612050414085388,0.025501426309347153
11.58238434791565,0.0,0.0,0.43994277715682983,0.10009508579969406
11.59037971496582,0.0,0.0,0.49796009063720703,0.15811237692832947
11.598674774169922,0.0,0.0,0.49796009063720703,0.19955331087112427
11.6061372756958,0.0,0.0,0.49796009063720703,0.21198558807373047
11.63033413887024,0.0,0.0,0.49796009063720703,0.20784148573875427
11.638125658035278,0.0,0.0,0.49796009063720703,0.21198558807373047
11.709843873977661,0.0,0.0,0.49796009063720703,0.20784148573875427
11.717671155929565,0.0,0.0,0.49796009063720703,0.21198558807373047
11.733814239501953,0.0,0.0,0.49796009063720703,0.20784148573875427
11.79815411567688,0.0,0.0,0.49796009063720703,0.20369739830493927
11.821853160858154,0.0,0.0,0.49796009063720703,0.19955331087112427
11.83798098564148,0.0,0.0,0.49796009063720703,0.19540920853614807
11.846199989318848,0.0,0.0,0.49796009063720703,0.19126512110233307
11.886192321777344,0.0,0.0,0.49796009063720703,0.18712103366851807
11.90229606628418,0.0,0.0,0.49796009063720703,0.18297693133354187
11.909243106842041,0.0,0.0,0.49796009063720703,0.18297693133354187
11.909870624542236,0.0,0.0,0.49796009063720703,0.17883284389972687
11.982323169708252,0.0,0.0,0.49796009063720703,0.17468875646591187
12.070343732833862,0.0,0.0,0.49796009063720703,0.17883284389972687
12.077878952026367,0.0,0.0,0.49796009063720703,0.17468875646591187
12.094236373901367,0.0,0.0,0.49796009063720703,0.17883284389972687
12.110328674316406,0.0,0.0,0.49796009063720703,0.17468875646591187
12.12591552734375,0.0,0.0,0.49796009063720703,0.17883284389972687
12.15007209777832,0.0,0.0,0.49796009063720703,0.17468875646591187
12.22992730140686,0.0,0.0,0.49796009063720703,0.17883284389972687
12.262118577957153,0.0,0.0,0.49796009063720703,0.18297693133354187
12.270232200622559,0.0,0.0,0.49796009063720703,0.19540920853614807
12.277873992919922,0.0,0.0,0.49796009063720703,0.20784148573875427
12.286192178726196,0.0,0.0,0.49796009063720703,0.22856195271015167
12.2939932346344,0.0,0.0,0.49796009063720703,0.24929848313331604
12.302256345748901,0.0,0.0,0.49796009063720703,0.27001893520355225
12.309902667999268,0.0,0.0,0.49796009063720703,0.28245121240615845
12.317697763442993,0.0,0.0,0.49796009063720703,0.29488348960876465
12.325697422027588,0.0,0.0,0.49796009063720703,0.30731576681137085
12.333709478378296,0.0,0.0,0.49796009063720703,0.31974804401397705
12.341816902160645,0.0,0.0,0.49796009063720703,0.33218032121658325
12.350155353546143,0.0,0.0,0.49796009063720703,0.34461259841918945
12.358006477355957,0.0,0.0,0.48967188596725464,0.36118897795677185
12.366185188293457,0.0,0.0,0.48552781343460083,0.37776532769203186
12.373711824417114,0.0,0.0,0.47309553623199463,0.39019760489463806
12.382161855697632,0.0,0.0,0.46895143389701843,0.39848580956459045
12.390213966369629,0.0,0.0,0.46480733156204224,0.40677398443222046
12.398227453231812,0.0,0.0,0.4606632590293884,0.41091808676719666
12.406023740768433,0.0,0.0,0.4606632590293884,0.41506215929985046
12.694451332092285,0.0,0.0,0.4606632590293884,0.41091808676719666
12.75014352798462,0.0,0.0,0.4606632590293884,0.40677398443222046
12.75820279121399,0.0,0.0,0.46480733156204224,0.40677398443222046
12.766183853149414,0.0,0.0,0.46480733156204224,0.39848580956459045
12.77424669265747,0.0,0.0,0.46895143389701843,0.39848580956459045
12.782387733459473,0.0,0.0,0.47309553623199463,0.39019760489463806
12.790475368499756,0.0,0.0,0.47723960876464844,0.37776532769203186
12.798307418823242,0.0,0.0,0.48552781343460083,0.35704487562179565
12.806127309799194,0.0,0.0,0.49381598830223083,0.32803621888160706
12.814289331436157,0.0,0.0,0.49796009063720703,0.29902759194374084
12.823289155960083,0.0,0.0,0.49796009063720703,0.25344255566596985
12.830039978027344,0.0,0.0,0.49796009063720703,0.13324782252311707
12.838180780410767,0.0,0.0,0.46480733156204224,-0.0
12.846222639083862,0.0,0.0,0.3985018730163574,-0.0
12.854109287261963,0.0,0.0,0.328052282333374,-0.0
12.862154245376587,0.0,0.0,0.265890896320343,-0.0
12.870358943939209,0.0,0.0,0.2410263568162918,-0.0
12.878372192382812,0.0,0.0,0.23272210359573364,-0.0
12.902453660964966,0.0,0.0,0.2368822544813156,-0.0
12.909271955490112,0.0,0.0,0.2368822544813156,-0.0
12.910170316696167,0.0,0.0,0.2410263568162918,-0.0
12.9181649684906,0.0,0.0,0.24931453168392181,-0.0
12.925821542739868,0.0,0.0,0.257602721452713,-0.0
12.933996200561523,0.0,0.0,0.2700349986553192,-0.0
12.942199468612671,0.0,0.0,0.2948995530605316,-0.0
12.950409173965454,0.0,0.0,0.319764107465744,-0.008908995427191257
12.958266258239746,0.0,0.0,0.3404845595359802,-0.042061734944581985
12.966391324996948,0.0,0.0,0.3612050414085388,-0.07935856282711029
12.97409462928772,0.0,0.0,0.37778139114379883,-0.10007902979850769
12.982166767120361,0.0,0.0,0.40264594554901123,-0.11251130700111389
12.990352869033813,0.0,0.0,0.43165460228919983,-0.12494358420372009
12.998382091522217,0.0,0.0,0.46895143389701843,-0.1373758614063263
13.006336212158203,0.0,0.0,0.49796009063720703,-0.1456640362739563
13.022708654403687,0.0,0.0,0.49796009063720703,-0.1498081386089325
13.030227184295654,0.0,0.0,0.49796009063720703,-0.1539522260427475
13.046247720718384,0.0,0.0,0.49796009063720703,-0.1580963134765625
13.110319137573242,0.0,0.0,0.49796009063720703,-0.1539522260427475
13.118131875991821,0.0,0.0,0.49796009063720703,-0.1580963134765625
13.125765562057495,0.0,0.0,0.49796009063720703,-0.1539522260427475
13.15801477432251,0.0,0.0,0.49796009063720703,-0.1498081386089325
13.166290760040283,0.0,0.0,0.49796009063720703,-0.1415199488401413
13.17432451248169,0.0,0.0,0.49796009063720703,-0.1373758614063263
13.182026147842407,0.0,0.0,0.49796009063720703,-0.1332317590713501
13.190072774887085,0.0,0.0,0.49796009063720703,-0.12494358420372009
13.198160409927368,0.0,0.0,0.49796009063720703,-0.1207994893193245
13.206310033798218,0.0,0.0,0.49796009063720703,-0.11251130700111389
13.214335680007935,0.0,0.0,0.49796009063720703,-0.10836721211671829
13.222305297851562,0.0,0.0,0.49796009063720703,-0.10007902979850769
13.230089664459229,0.0,0.0,0.49796009063720703,-0.09593493491411209
13.237912654876709,0.0,0.0,0.49796009063720703,-0.09179084002971649
13.246191501617432,0.0,0.0,0.49796009063720703,-0.08764675259590149
13.253981351852417,0.0,0.0,0.49796009063720703,-0.09179084002971649
13.262082576751709,0.0,0.0,0.49796009063720703,-0.08764675259590149
